stage,fold,mae_all,mae_peak,pinball_p90,composite
load_calendar+reefer_state,0,222.99360825721226,49.9624463754236,36.890503250601036,133.86363869135343
load_calendar+reefer_state,1,111.76989943914913,135.00607096461755,17.63563522886267,99.91389805473236
load_calendar+reefer_state,2,145.0778557791831,169.30285257772712,31.76718001498235,129.68321966590614
load_calendar+reefer_state,3,103.2186843045578,98.66530259087018,21.098536497381225,85.4286402290162
