stage,fold,mae_all,mae_peak,pinball_p90,composite
load_calendar+reefer_state,0,157.86159306684416,221.31657077955163,42.137714570049745,153.75331068129753
load_calendar+reefer_state,1,154.27606146431825,79.32457169242527,25.30137896208484,105.99567803230367
