feature,history_window_hours,mean_abs_future_correlation,horizon_1_corr,horizon_24_corr
weather_temperature_mean_c,1.0,0.3860864010465965,0.3795346632185427,0.39903197466719226
weather_temperature_mean_c,2.0,0.4002259331670654,0.3937983943098452,0.4142031050625085
weather_temperature_mean_c,3.0,0.41029432108393676,0.40311115992804997,0.4246669599907674
weather_temperature_mean_c,4.0,0.4191226125051648,0.4113499792030117,0.4335268670438442
weather_temperature_mean_c,5.0,0.4278206845103085,0.4195066581017126,0.4423452891145119
weather_temperature_mean_c,6.0,0.4367664450031962,0.42791662475608727,0.45142551925909136
weather_temperature_mean_c,7.0,0.4462571199694961,0.4369850556810777,0.4607733368209578
weather_temperature_mean_c,8.0,0.4552449811475155,0.4456003859787463,0.4694796522999664
weather_temperature_mean_c,9.0,0.46370995679290833,0.4538434978559715,0.4774481575669246
weather_temperature_mean_c,10.0,0.4715942895739549,0.46148138003830835,0.4848566266921339
weather_temperature_mean_c,11.0,0.4789126974237747,0.46859350674983935,0.4915559111565615
weather_temperature_mean_c,12.0,0.4857057942346678,0.47503514212502196,0.4977269776190415
weather_temperature_mean_c,13.0,0.49201955727305835,0.48099328655256723,0.5032983190582857
weather_temperature_mean_c,14.0,0.49789408766251625,0.48657983135192256,0.5084146415667977
weather_temperature_mean_c,15.0,0.5033501668294204,0.49149170774859496,0.5128869646811417
weather_temperature_mean_c,16.0,0.5084443882547214,0.4961391062791265,0.5173331881937713
weather_temperature_mean_c,17.0,0.5132002008543419,0.5004159806586985,0.5214609669271544
weather_temperature_mean_c,18.0,0.517646843106727,0.5043610288114126,0.5253956622677031
weather_temperature_mean_c,19.0,0.521810903327346,0.5082071568451875,0.5290816000901778
weather_temperature_mean_c,20.0,0.5257214742022897,0.5120899081368585,0.5328381350784751
weather_temperature_mean_c,21.0,0.5294061744222998,0.515739709584039,0.536756584495551
weather_temperature_mean_c,22.0,0.5328964537273034,0.5194901716680269,0.5407176786518143
weather_temperature_mean_c,23.0,0.536209038889912,0.5231663254243234,0.5447200477589467
weather_temperature_mean_c,24.0,0.539374749714553,0.5267484528716578,0.5489426907663185
weather_temperature_mean_c,25.0,0.5424160735126963,0.5302063947288441,0.5531820900329042
weather_temperature_mean_c,26.0,0.5453596932082808,0.5334303505805136,0.557501031737432
weather_temperature_mean_c,27.0,0.5482237557089475,0.5364025353337885,0.5616120487847749
weather_temperature_mean_c,28.0,0.5510287084039073,0.5392937766003644,0.5655600872702344
weather_temperature_mean_c,29.0,0.5537841800357906,0.5422414959524353,0.5692909538867474
weather_temperature_mean_c,30.0,0.5564859187943423,0.5449173656896428,0.5726528462778675
weather_temperature_mean_c,31.0,0.5591396561838969,0.5474867997137519,0.5756121222999883
weather_temperature_mean_c,32.0,0.5617449946929857,0.5498420330123834,0.5782244288026283
weather_temperature_mean_c,33.0,0.5643087824194114,0.5522439358320199,0.5806025607037518
weather_temperature_mean_c,34.0,0.5668286537056947,0.5544595210173845,0.5828419290918175
weather_temperature_mean_c,35.0,0.5693127315259576,0.5565758006718932,0.5849932127310421
weather_temperature_mean_c,36.0,0.5717675854879429,0.5585406184337945,0.5871446715131033
weather_temperature_mean_c,37.0,0.5741971386836445,0.5604740076343288,0.589198906221029
weather_temperature_mean_c,38.0,0.5766030247013568,0.5621337444664124,0.5912329294802017
weather_temperature_mean_c,39.0,0.5789927509533951,0.5640268058364333,0.5931592597570433
weather_temperature_mean_c,40.0,0.5813519848491137,0.5658062124719673,0.5949771640487815
weather_temperature_mean_c,41.0,0.583677192399512,0.5676493506092748,0.5966234333722111
weather_temperature_mean_c,42.0,0.5859557782407586,0.5693742730339618,0.5980633285275851
weather_temperature_mean_c,43.0,0.5881853949475825,0.5712532202289392,0.5993473528562553
weather_temperature_mean_c,44.0,0.5903481556443233,0.57333894523048,0.6003719902467692
weather_temperature_mean_c,45.0,0.5924301456452721,0.575548523439624,0.601290209077191
weather_temperature_mean_c,46.0,0.5946280750256885,0.5781328147090643,0.6022290856779927
weather_temperature_mean_c,47.0,0.5967363444254816,0.5809580668809465,0.6030834187416976
weather_temperature_mean_c,48.0,0.5987372254419605,0.5838693502714084,0.6038039825638356
weather_temperature_mean_c,49.0,0.6006190339674881,0.5868609554728875,0.604463428560129
weather_temperature_mean_c,50.0,0.6023721440232738,0.5897698720438415,0.6050345792052898
weather_temperature_mean_c,51.0,0.6039931545661262,0.5926288759036062,0.6054351583627092
weather_temperature_mean_c,52.0,0.6054880157480991,0.5953731266974426,0.6058848336226054
weather_temperature_mean_c,53.0,0.6068634079278423,0.5979088482490313,0.6063269243882766
weather_temperature_mean_c,54.0,0.6081303814070387,0.6002265029886633,0.6067542123954665
weather_temperature_mean_c,55.0,0.6093005131038649,0.6023029985452232,0.6071723004938876
weather_temperature_mean_c,56.0,0.6103847594770491,0.6042403120423157,0.6075780300575407
weather_temperature_mean_c,57.0,0.6113899954163654,0.6060728578504438,0.6080015090786325
weather_temperature_mean_c,58.0,0.6123217928483341,0.6078278946127216,0.608432412636307
weather_temperature_mean_c,59.0,0.6131854276367136,0.6095195043231513,0.6088926183401943
weather_temperature_mean_c,60.0,0.6139859069361732,0.6111535516259399,0.6094032075366764
weather_temperature_mean_c,61.0,0.6147237923369521,0.6127598136276071,0.6098659668083276
weather_temperature_mean_c,62.0,0.6154009445638672,0.6142940705731275,0.6103328496140354
weather_temperature_mean_c,63.0,0.616021361760519,0.6157489962209048,0.6107995180169266
weather_temperature_mean_c,64.0,0.6165892672453569,0.6170658353689288,0.6112637869366268
weather_temperature_mean_c,65.0,0.6171107276002195,0.6182425178528651,0.6117099413453709
weather_temperature_mean_c,66.0,0.6175922498992419,0.6192984276873661,0.6121471342024686
weather_temperature_mean_c,67.0,0.6180422676956301,0.6201675901927914,0.6126392535744227
weather_temperature_mean_c,68.0,0.6184693802653808,0.6209724772405185,0.6131182739228735
weather_temperature_mean_c,69.0,0.6188783096554213,0.6216507539174315,0.6136245938637462
weather_temperature_mean_c,70.0,0.6192774230657511,0.6222627698651111,0.6142002200993295
weather_temperature_mean_c,71.0,0.6196720072579917,0.6227614099801367,0.6148500401385618
weather_temperature_mean_c,72.0,0.6200684085343697,0.6232167160552017,0.6155528303406985
weather_temperature_spread_c,1.0,0.04182287895624209,-0.0015798727146450117,-0.05994645414503764
weather_temperature_spread_c,2.0,0.045736857957490884,-0.003509454505912827,-0.06417800893082136
weather_temperature_spread_c,3.0,0.0490095886143107,-0.005731758003070591,-0.06715065968824167
weather_temperature_spread_c,4.0,0.05211279516493198,-0.008573663338709065,-0.06982085667124191
weather_temperature_spread_c,5.0,0.05529255540836373,-0.011878379278922012,-0.07290207955608798
weather_temperature_spread_c,6.0,0.058656824544118163,-0.015534490892828755,-0.07622343568606162
weather_temperature_spread_c,7.0,0.06233066699436232,-0.019414346152841936,-0.07978525755550461
weather_temperature_spread_c,8.0,0.06616537614217306,-0.02358163729847056,-0.08335297528410662
weather_temperature_spread_c,9.0,0.06997817952738333,-0.028145587565050704,-0.08666965366923653
weather_temperature_spread_c,10.0,0.07370395649190975,-0.03303786281393914,-0.08967183267885337
weather_temperature_spread_c,11.0,0.0773029142809511,-0.03777755182780542,-0.09243205791933812
weather_temperature_spread_c,12.0,0.08077351580122218,-0.04246127767907671,-0.09511596921079135
